Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,039576732621155","3,7251184446252E-06","-0,0144095999042188",0,0,0,"0,0297313079671725","4,88803892671331E-05","5,43691405910835E-21","1,86566442421859E-23","0,000107552977589956","-4,42764590535738E-23","0,000156250479332308",0,0,0,0,0,0,package://modelo_carrinho/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://modelo_carrinho/meshes/base_link.STL,,Base-1;Terceiro apoio-1,sistemadecoordenada_robo,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
sonar_link,"-0,00869789441923501","-0,000209504762463383","2,10654746424233E-08",0,0,0,"0,0041537160429322","8,24275084489945E-07","-3,41590248007691E-10","5,0112173834485E-13","7,86229940420769E-07","-1,11208166672882E-12","1,86665488656075E-07",0,0,0,0,0,0,package://modelo_carrinho/meshes/sonar_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://modelo_carrinho/meshes/sonar_link.STL,,HC-SR04.catpart-1,sensordedistância,Axis_sonar_joint,sonar_joint,fixed,"0,17102","0,00018254","-0,00125","1,5708",0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
bateria_link,"0,0569730479747001","-0,00259601435525665","0,01025",0,0,0,"0,23463372251468","0,000215706289639484","-6,82424005356249E-21","5,23450231381226E-22","9,92905114197342E-05","-8,91157863055177E-21","0,000242988197048486",0,0,0,0,0,0,package://modelo_carrinho/meshes/bateria_link.STL,"0,109803921568627","0,109803921568627","0,109803921568627",1,0,0,0,0,0,0,package://modelo_carrinho/meshes/bateria_link.STL,,Bateria-1,sistemadecoordenada_robo,,bateria_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
arduino_link,"-0,0114425264214401","-0,00528872137884194","-0,00664411130895762",0,0,0,"0,0101843904665299","2,20878499946636E-06","-3,57468350804334E-08","-1,31421007778119E-10","1,33560681881314E-06","-2,91813662719249E-09","3,47251972817078E-06",0,0,0,0,0,0,package://modelo_carrinho/meshes/arduino_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://modelo_carrinho/meshes/arduino_link.STL,,Arduino UNO-1,sistemadecoordenada_robo,,arduino_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
motoresquerdo_link,"-0,0184948377964454","0,0652744137442133","9,78815445362713E-10",0,0,0,"0,0236803152457412","1,57519600391707E-06","-1,61392075105286E-07","-9,4744744158514E-14","8,63753046358715E-06","7,66854683199634E-13","8,41491588641159E-06",0,0,0,0,0,0,package://modelo_carrinho/meshes/motoresquerdo_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://modelo_carrinho/meshes/motoresquerdo_link.STL,,motor-1,sistemadecoordenada_robo,Axis_motoresquerdo_joint,motoresquerdo_joint,fixed,0,0,0,0,0,0,base_link,1,0,0,,,,,,,,,,,,
motordireito_link,"-0,0184948377964454","-0,0659255862557866","9,78815445362713E-10",0,0,0,"0,0236803152457412","1,57519600391707E-06","-1,61392075105282E-07","-9,47447437462061E-14","8,63753046358715E-06","7,66854683021252E-13","8,41491588641158E-06",0,0,0,0,0,0,package://modelo_carrinho/meshes/motordireito_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://modelo_carrinho/meshes/motordireito_link.STL,,motor-2,sistemadecoordenada_robo,Axis_motordireito_joint,motordireito_joint,fixed,0,0,0,0,0,0,base_link,1,0,0,,,,,,,,,,,,
sensor1_link,"-0,0201710756030179","-0,000534527415838856","0,000204414373291266",0,0,0,"0,0011672687384539","1,1338202252208E-08","9,60984996801537E-14","4,24918240082326E-12","4,54677720247577E-08","2,09224660226093E-12","5,47409115450365E-08",0,0,0,0,0,0,package://modelo_carrinho/meshes/sensor1_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://modelo_carrinho/meshes/sensor1_link.STL,,SensordeLinha-4,sensordelinha1,Axis_sensor1_joint,sensor1_joint,fixed,"0,12967","0,03813","-0,024382",0,"1,5708",0,base_link,0,0,0,,,,,,,,,,,,
rodaesquerda_link,"-2,56799050468715E-07","0,0177438799205313","1,31487906784855E-07",0,0,0,"0,0293925354796172","1,22579046710474E-05","7,1575445445615E-11","-7,24476321619482E-15","2,03781664028303E-05","-3,64436213658115E-11","1,22579046689118E-05",0,0,0,0,0,0,package://modelo_carrinho/meshes/rodaesquerda_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://modelo_carrinho/meshes/rodaesquerda_link.STL,,roda-1,sistemadecoordenada_roda_esquerda,eixo_roda_esquerda,rodaesquerda_joint,continuous,0,"0,0755",0,0,0,0,base_link,0,1,0,,,,,,,,,,,,
rodadireita_link,"-7,39889154111051E-08","-0,0177438799205308","-2,78855628213504E-07",0,0,0,"0,0293925354796178","1,22579046626619E-05","-2,07746427302456E-11","2,97682441936494E-16","2,03781664028306E-05","-7,75860567619646E-11","1,22579046772977E-05",0,0,0,0,0,0,package://modelo_carrinho/meshes/rodadireita_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://modelo_carrinho/meshes/rodadireita_link.STL,,roda-2,sistemadecoordenada_roda_direita,eixo_roda_direita,rodadireita_joint,continuous,0,"-0,076",0,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
sensor2_link,"-0,0201710756030179","-0,000534527415838842","0,000204414373291266",0,0,0,"0,0011672687384539","1,1338202252208E-08","9,60984996653058E-14","4,24918240082212E-12","4,54677720247576E-08","2,09224660226144E-12","5,47409115450364E-08",0,0,0,0,0,0,package://modelo_carrinho/meshes/sensor2_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://modelo_carrinho/meshes/sensor2_link.STL,,SensordeLinha-1,sensordelinha2,Axis_sensor2_joint,sensor2_joint,fixed,"0,12967","0,01893","-0,024382",0,"1,5708",0,base_link,0,0,0,,,,,,,,,,,,
